Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
530010805150110;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;2;2;5;1;0;2;1;2;3;1;1;0;0;2;0;4;1;0;1;1;1;2;3;1;3;2;1;1;3;3;0;0;0;0;1;0;1;1;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;3;10;9;3;7;10;7;1;4;1;0;0
530010805150111;1;86;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;2;1;1;0;6;4;2;5;0;1;3;0;4;2;3;2;3;1;0;2;2;0;2;2;0;1;2;3;3;0;3;0;2;0;4;5;0;0;0;1;1;3;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;80;0;0;5;10;12;12;8;5;9;8;4;5;0;1;1
530010805150112;1;65;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;3;0;2;2;3;2;2;1;1;1;1;1;1;0;1;1;2;1;1;0;0;3;4;4;1;1;0;3;0;1;4;2;3;1;1;2;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;2;4;9;5;4;4;13;7;8;3;0;1;2
530010805150113;1;59;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;2;1;1;1;0;3;1;2;1;1;1;3;1;1;1;1;1;0;2;1;3;1;1;0;0;1;0;1;0;3;0;3;1;1;3;0;0;1;5;1;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;2;2;6;7;7;5;5;2;8;7;3;0;1
530010805150114;1;65;0;0;0;0;0;0;0;1;0;0;1;1;1;1;3;0;1;1;2;2;1;2;0;1;0;1;1;2;0;1;0;1;1;4;4;1;1;1;0;2;1;0;1;0;1;3;1;2;0;0;0;0;1;2;0;2;1;1;1;2;2;0;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;1;6;6;4;5;10;5;3;6;2;6;5;1;0
530010805150115;1;88;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;1;1;1;1;0;2;0;1;2;2;1;3;1;4;2;2;2;4;3;0;0;4;1;4;4;2;1;1;3;1;1;1;2;0;1;1;3;1;2;2;1;1;1;0;1;0;1;1;0;1;2;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;7;4;5;11;13;9;10;5;8;5;2;2;3
530010805150116;1;103;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;1;0;1;2;3;3;3;2;3;4;2;2;3;1;5;6;3;2;3;0;3;3;1;2;4;0;6;3;1;1;1;2;3;0;2;2;1;0;1;0;3;0;0;1;1;1;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;1;5;2;13;13;17;10;15;8;4;3;5;1;2
530010805150117;1;129;0;0;0;0;0;0;0;0;1;1;2;1;1;4;2;2;3;2;0;3;1;2;1;2;6;2;3;4;4;2;4;3;4;7;4;2;2;2;3;1;3;4;1;1;2;4;3;1;3;1;3;1;2;1;2;2;1;1;2;1;1;0;2;0;1;1;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;2;10;10;12;15;22;10;11;12;8;5;1;4;0
530010805150118;1;119;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;1;1;2;2;2;2;2;2;1;5;4;3;5;4;7;1;2;1;3;4;1;4;1;2;4;2;3;2;2;5;3;2;0;1;2;0;1;2;2;5;2;0;3;2;0;0;1;2;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;1;0;3;9;9;21;14;12;13;11;6;10;2;1;1
530010805150119;1;55;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;1;2;2;2;0;0;4;2;0;1;1;0;0;0;0;1;0;2;1;2;1;1;1;0;0;0;1;2;1;0;0;1;1;0;0;2;2;2;0;0;0;2;2;2;0;1;0;2;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;1;2;9;6;1;4;5;3;1;3;2;2;2;0
